,att_id,att_name,att_cat,att_price,score
615,1355,ultimate_day_tour_to_victoria,tours_&_sightseeing,363.56,5.000000000000001
211,428,ultimate_day_tour_to_victoria,day_trips_&_excursions,363.56,4.307411655246265
573,1303,vancouver_city_sightseeing_tour,tours_&_sightseeing,80.0,4.007039492547969
1183,2609,ultimate_day_tour_to_victoria,luxury_&_special_occasions,363.56,3.0436998589760846
1460,3470,whistler_sasquatch_zipline,recommended_experiences,135.45,2.851085181955961
1380,3377,ultimate_day_tour_to_victoria,recommended_experiences,363.56,2.391543246358833
5,5,niagara_falls_in_one_day:_deluxe_sightseeing_tour_of_american_and_canadian_sides,featured_tours_and_tickets,204.42,2.274016489850374
1404,3404,stanley_park_horse-drawn_tours,recommended_experiences,42.0,2.05838156039159
1431,3431,flavors_of_old_montreal_walking_tour,recommended_experiences,68.0,1.9521484203565975
580,1310,"best_of_niagara_falls_tour_from_niagara_falls,_ontario",tours_&_sightseeing,158.0,1.929754290696518
910,2025,little_italy_walking_food_tour_in_vancouver,walking_&_biking_tours,73.0,1.8598713815077272
0,0,vancouver_city_sightseeing_tour,featured_tours_and_tickets,80.0,1.8287466426360355
399,887,ultimate_day_tour_to_victoria,sightseeing_tickets_&_passes,363.56,1.7287366948909553
1059,2258,niagara_falls_helicopter_tour,family_friendly,145.0,1.6856073683532973
468,1081,2_hour_banff_horseback_riding_adventure,outdoor_activities,124.95,1.6757795813754808
696,1571,niagara_falls_canada_tour_from_niagara_usa,tours_&_sightseeing,156.71,1.5885963731691761
76,135,summer_whale_watching_on_vancouver_island,"cruises,_sailing_&_water_tours",145.95,1.5212823228569925
1049,2247,niagara_falls_day_and_evening_tour_with_boat_cruise_and_optional_fallsview_dinner,family_friendly,169.0,1.4788464126675758
276,583,niagara_falls_one_day_sightseeing_tour_from_toronto,"food,_wine_&_nightlife",99.0,1.435547389302078
863,1931,ultimate_day_tour_to_victoria,walking_&_biking_tours,363.56,1.3907006138343878
1297,3289,quebec_city_walking_tour,recommended_experiences,30.99,1.3763904899557033
1045,2243,half-day_trip_to_montmorency_falls_and_ste-anne-de-beaupré_from_quebec,family_friendly,57.5,1.297434652092245
1104,2419,ottawa_river_historic_sightseeing_cruise,family_friendly,28.0,1.2897397786919302
1552,3585,overnight_camping_and_river-rafting_trip_in_squamish,recommended_experiences,425.24,1.259293827131597
589,1323,niagara_on_the_lake_wine_tour_with_cheese_pairing,tours_&_sightseeing,83.62,1.2274873751411703
956,2088,ultimate_day_tour_to_victoria,water_sports,363.56,1.1861281620663222
