,att_id,att_name,att_cat,att_price,score
614,1355,ultimate_day_tour_to_victoria,tours_&_sightseeing,363.56,5.0
6,6,whistler_small-group_day_trip_from_vancouver,featured_tours_and_tickets,145.0,4.5713382146605985
210,428,ultimate_day_tour_to_victoria,day_trips_&_excursions,363.56,4.307389043811414
572,1303,vancouver_city_sightseeing_tour,tours_&_sightseeing,80.0,4.007034704856012
1175,2609,ultimate_day_tour_to_victoria,luxury_&_special_occasions,363.56,3.0436756698562633
1451,3470,whistler_sasquatch_zipline,recommended_experiences,135.45,2.8510243414947536
1372,3377,ultimate_day_tour_to_victoria,recommended_experiences,363.56,2.3915188011453994
5,5,niagara_falls_in_one_day:_deluxe_sightseeing_tour_of_american_and_canadian_sides,featured_tours_and_tickets,204.42,2.2739801930609014
1395,3404,stanley_park_horse-drawn_tours,recommended_experiences,42.0,2.0583576834096116
1422,3431,flavors_of_old_montreal_walking_tour,recommended_experiences,68.0,1.9520881775064978
579,1310,"best_of_niagara_falls_tour_from_niagara_falls,_ontario",tours_&_sightseeing,158.0,1.9297284298501316
907,2025,little_italy_walking_food_tour_in_vancouver,walking_&_biking_tours,73.0,1.8598202092565788
0,0,vancouver_city_sightseeing_tour,featured_tours_and_tickets,80.0,1.828645870511814
396,887,ultimate_day_tour_to_victoria,sightseeing_tickets_&_passes,363.56,1.728651604530577
1051,2258,niagara_falls_helicopter_tour,family_friendly,145.0,1.6855469961348035
467,1081,2_hour_banff_horseback_riding_adventure,outdoor_activities,124.95,1.6756850689662035
1043,2247,niagara_falls_day_and_evening_tour_with_boat_cruise_and_optional_fallsview_dinner,family_friendly,169.0,1.478753705170798
861,1931,ultimate_day_tour_to_victoria,walking_&_biking_tours,363.56,1.3906107198065882
1289,3289,quebec_city_walking_tour,recommended_experiences,30.99,1.3763195556954606
1039,2243,half-day_trip_to_montmorency_falls_and_ste-anne-de-beaupré_from_quebec,family_friendly,57.5,1.2973744045104496
1095,2419,ottawa_river_historic_sightseeing_cruise,family_friendly,28.0,1.2896832130164568
1541,3585,overnight_camping_and_river-rafting_trip_in_squamish,recommended_experiences,425.24,1.259219775577527
588,1323,niagara_on_the_lake_wine_tour_with_cheese_pairing,tours_&_sightseeing,83.62,1.2274164500806861
952,2088,ultimate_day_tour_to_victoria,water_sports,363.56,1.1860730045907257
1319,3321,vancouver_highlights_bike_tour,recommended_experiences,94.45,1.1597404010770596
1172,2606,niagara_falls_helicopter_tour,luxury_&_special_occasions,145.0,1.1032632417801673
80,145,lady_muskoka_boat_cruise,"cruises,_sailing_&_water_tours",42.94,1.0626541017542588
1314,3315,niagara_falls_platinum_tour_from_toronto_with_cruise_and_lunch,recommended_experiences,149.0,1.0208513496592941
575,1306,niagara_falls_canadian_side_tour_and_maid_of_the_mist_boat_ride,tours_&_sightseeing,149.89,1.0207986903033064
1036,2240,quebec_city_walking_tour,family_friendly,30.99,1.0104862330890332
1397,3406,wild_current_canoe_adventure_at_pyramid_lake,recommended_experiences,120.0,1.0026750952841794
1057,2266,ultimate_day_tour_to_victoria,family_friendly,363.56,0.9766760010251022
868,1942,vancouver_biking_and_hiking_tour_including_lunch,walking_&_biking_tours,135.5,0.9615276596192847
144,301,6-hour_niagara_falls_canadian_side_evening_illuminations_tour,cultural_&_theme_tours,149.89,0.9551383244261008
841,1910,quebec_city_walking_tour,walking_&_biking_tours,30.99,0.943447947396814
